"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 05 00:25:00 CST 2021","Wed May 05 00:25:00 CST 2021","224","","test_result","","test_result","TestResult.test_10","TestResult.test_10",""
"passed","Wed May 05 00:25:00 CST 2021","Wed May 05 00:25:00 CST 2021","2","","test_result","","test_result","TestResult.test_20","TestResult.test_20",""
